tune,english.csv
bobojota,"Ghomálá' (bbj language)"
bobokota,"Babanki (bbk language)"
bobolota,"Bats (bbl language)"
bobomota,"Babango (bbm language)"
bobonota,"Uneapa (bbn language)"
boboduta,"Konabéré (bbo language)"
boboduta,"Northern Bobo Madaré (bbo language)"
bobopota,"West Central Banda (bbp language)"
boboputa,"Bamali (bbq language)"
boborota,"Girawa (bbr language)"
bobosota,"Bakpinka (bbs language)"
bobotota,"Mburku (bbt language)"
bobobuta,"Kulung (Nigeria) (bbu language)"
bobovota,"Karnai (bbv language)"
bobosuta,"Baba (bbw language)"
boboxota,"Bubia (bbx language)"
bobovuta,"Befang (bby language)"
botamuta,"Central Bai (bca language)"
botabota,"Bainouk-Samik (bcb language)"
botatuta,"Southern Balochi (bcc language)"
botadota,"North Babar (bcd language)"
botanuta,"Bamenyam (bce language)"
botafota,"Bamu (bcf language)"
botagota,"Baga Pokur (bcg language)"
botakuta,"Bariai (bch language)"
botaguta,"Baoulé (bci language)"
botajota,"Bardi (bcj language)"
botakota,"Bunuba (bck language)"
botalota,"Central Bikol (bcl language)"
botamota,"Bannoni (bcm language)"
botanota,"Bali (Nigeria) (bcn language)"
botaduta,"Kaluli (bco language)"
botapota,"Bali (Democratic Republic of Congo) (bcp language)"
botaputa,"Bench (bcq language)"
botarota,"Babine (bcr language)"
botasota,"Kohumono (bcs language)"
botatota,"Bendi (bct language)"
botabuta,"Awad Bing (bcu language)"
botavota,"Shoo-Minda-Nye (bcv language)"
botasuta,"Bana (bcw language)"
botavuta,"Bacama (bcy language)"
botazota,"Bainouk-Gunyaamolo (bcz language)"
bodomuta,"Bayot (bda language)"
bodobota,"Basap (bdb language)"
bodotuta,"Emberá-Baudó (bdc language)"
bododota,"Bunama (bdd language)"
bodonuta,"Bade (bde language)"
bodofota,"Biage (bdf language)"
bodogota,"Bonggi (bdg language)"
bodokuta,"Baka (South Sudan) (bdh language)"
bodoguta,"Burun (bdi language)"
bodojota,"Bai (bdj language)"
bodojota,"Bai (South Sudan) (bdj language)"
bodokota,"Budukh (bdk language)"
bodolota,"Indonesian Bajau (bdl language)"
bodomota,"Buduma (bdm language)"
bodonota,"Baldemu (bdn language)"
bododuta,"Morom (bdo language)"
bodopota,"Bende (bdp language)"
bodoputa,"Bahnar (bdq language)"
bodorota,"West Coast Bajau (bdr language)"
bodosota,"Burunge (bds language)"
bodotota,"Bokoto (bdt language)"
bodobuta,"Oroko (bdu language)"
bodovota,"Bodo Parja (bdv language)"
bodosuta,"Baham (bdw language)"
bodoxota,"Budong-Budong (bdx language)"
bodovuta,"Bandjalang (bdy language)"
bodozota,"Badeshi (bdz language)"
bonamuta,"Beaver (bea language)"
bonabota,"Bebele (beb language)"
bonatuta,"Iceve-Maci (bec language)"
bonadota,"Bedoanas (bed language)"
bonanuta,"Byangsi (bee language)"
bonafota,"Benabena (bef language)"
bonagota,"Belait (beg language)"
bonakuta,"Biali (beh language)"
bonaguta,"Bekati' (bei language)"
bonajota,"Bedawiyet (bej language)"
bonajota,"Beja (bej language)"
bonakota,"Bebeli (bek language)"
bonalota,"Belarusian (bel language)"
bonamota,"Bemba (Zambia) (bem language)"
bonanota,"Bengali (ben language)"
bonaduta,"Beami (beo language)"
bonapota,"Besoa (bep language)"
bonaputa,"Beembe (beq language)"
bonasota,"Besme (bes language)"
bonatota,"Guiberoua Béte (bet language)"
bonabuta,"Blagar (beu language)"
bonavota,"Daloa Bété (bev language)"
bonasuta,"Betawi (bew language)"
bonaxota,"Jur Modo (bex language)"
bonavuta,"Beli (Papua New Guinea) (bey language)"
bonazota,"Bena (Tanzania) (bez language)"
bofomuta,"Bari (bfa language)"
bofobota,"Pauri Bareli (bfb language)"
bofotuta,"Northern Bai (bfc language)"
bofotuta,"Panyi Bai (bfc language)"
bofodota,"Bafut (bfd language)"
bofonuta,"Betaf (bfe language)"
bofonuta,"Tena (bfe language)"
bofofota,"Bofi (bff language)"
bofogota,"Busang Kayan (bfg language)"
bofokuta,"Blafe (bfh language)"
