tune,english.csv
gobokota,"Gaddi (gbk language)"
gobolota,"Gamit (gbl language)"
gobomota,"Garhwali (gbm language)"
gobonota,"Mo'da (gbn language)"
goboduta,"Northern Grebo (gbo language)"
gobopota,"Gbaya-Bossangoa (gbp language)"
goboputa,"Gbaya-Bozoum (gbq language)"
goborota,"Gbagyi (gbr language)"
gobosota,"Gbesi Gbe (gbs language)"
gobobuta,"Gagadu (gbu language)"
gobovota,"Gbanu (gbv language)"
gobosuta,"Gabi-Gabi (gbw language)"
goboxota,"Eastern Xwla Gbe (gbx language)"
gobovuta,"Gbari (gby language)"
gobozota,"Zoroastrian Dari (gbz language)"
gotatuta,"Mali (gcc language)"
gotadota,"Ganggalida (gcd language)"
gotanuta,"Galice (gce language)"
gotafota,"Guadeloupean Creole French (gcf language)"
gotalota,"Grenadian Creole English (gcl language)"
gotanota,"Gaina (gcn language)"
gotarota,"Guianese Creole French (gcr language)"
gotatota,"Colonia Tovar German (gct language)"
godomuta,"Gade Lohar (gda language)"
godobota,"Pottangi Ollar Gadaba (gdb language)"
godotuta,"Gugu Badhun (gdc language)"
gododota,"Gedaged (gdd language)"
godonuta,"Gude (gde language)"
godofota,"Guduf-Gava (gdf language)"
godogota,"Ga'dang (gdg language)"
godokuta,"Gadjerawang (gdh language)"
godokuta,"Gajirrabeng (gdh language)"
godoguta,"Gundi (gdi language)"
godojota,"Gurdjar (gdj language)"
godokota,"Gadang (gdk language)"
godolota,"Dirasha (gdl language)"
godomota,"Laal (gdm language)"
godonota,"Umanakaina (gdn language)"
gododuta,"Ghodoberi (gdo language)"
godoputa,"Mehri (gdq language)"
godorota,"Wipi (gdr language)"
godosota,"Ghandruk Sign Language (gds language)"
godotota,"Kungardutyi (gdt language)"
godobuta,"Gudu (gdu language)"
godoxota,"Godwari (gdx language)"
gonamuta,"Geruma (gea language)"
gonabota,"Kire (geb language)"
gonatuta,"Gboloo Grebo (gec language)"
gonadota,"Gade (ged language)"
gonafota,"Gerai (gef language)"
gonagota,"Gengle (geg language)"
gonakuta,"Hutterisch (geh language)"
gonakuta,"Hutterite German (geh language)"
gonaguta,"Gebe (gei language)"
gonajota,"Gen (gej language)"
gonakota,"Ywom (gek language)"
gonalota,"ut-Ma'in (gel language)"
gonaputa,"Geme (geq language)"
gonasota,"Geser-Gorom (ges language)"
gonavota,"Eviya (gev language)"
gonasuta,"Gera (gew language)"
gonaxota,"Garre (gex language)"
gonavuta,"Enya (gey language)"
gonazota,"Geez (gez language)"
gofokota,"Patpatar (gfk language)"
gofotota,"Gafat (gft language)"
gogomuta,"Gao (gga language)"
gogobota,"Gbii (ggb language)"
gogodota,"Gugadj (ggd language)"
gogonuta,"Gurr-goni (gge language)"
gogogota,"Gurgula (ggg language)"
gogokota,"Kungarakany (ggk language)"
gogolota,"Ganglau (ggl language)"
gogotota,"Gitua (ggt language)"
gogobuta,"Gagu (ggu language)"
gogobuta,"Gban (ggu language)"
gogosuta,"Gogodala (ggw language)"
gohomuta,"Ghadamès (gha language)"
gohotuta,"Hiberno-Scottish Gaelic (ghc language)"
gohonuta,"Southern Ghale (ghe language)"
gohokuta,"Northern Ghale (ghh language)"
gohokota,"Geko Karen (ghk language)"
goholota,"Ghulfan (ghl language)"
gohonota,"Ghanongga (ghn language)"
gohoduta,"Ghomara (gho language)"
gohorota,"Ghera (ghr language)"
gohosota,"Guhu-Samane (ghs language)"
gohotota,"Kuke (ght language)"
gohotota,"Kutang Ghale (ght language)"
gogamuta,"Kija (gia language)"
gogabota,"Gibanawa (gib language)"
gogatuta,"Gail (gic language)"
gogadota,"Gidar (gid language)"
goganuta,"Gaɓogbo (gie language)"
goganuta,"Guébie (gie language)"
gogagota,"Goaria (gig language)"
gogakuta,"Githabul (gih language)"
gogaguta,"Girirra (gii language)"
gogalota,"Gilbertese (gil language)"
gogamota,"Gimi (Eastern Highlands) (gim language)"
goganota,"Hinukh (gin language)"
gogapota,"Gimi (West New Britain) (gip language)"
gogaputa,"Green Gelao (giq language)"
gogarota,"Red Gelao (gir language)"
gogasota,"North Giziga (gis language)"
gogatota,"Gitxsan (git language)"
gogabuta,"Mulao (giu language)"
gogasuta,"White Gelao (giw language)"
gogaxota,"Gilima (gix language)"
gogavuta,"Giyug (giy language)"
gogazota,"South Giziga (giz language)"
gojokota,"Kachi Koli (gjk language)"
gojomota,"Gunditjmara (gjm language)"
gojonota,"Gonja (gjn language)"
gojorota,"Gurindji Kriol (gjr language)"
gojobuta,"Gujari (gju language)"
gokomuta,"Guya (gka language)"
gokodota,"Magɨ (Madang Province) (gkd language)"
gokonuta,"Ndai (gke language)"
gokonota,"Gokana (gkn language)"
gokoduta,"Kok-Nar (gko language)"
gokopota,"Guinea Kpelle (gkp language)"
gokobuta,"ǂUngkue (gku language)"
golomuta,"Gaelic (gla language)"
golomuta,"Scottish Gaelic (gla language)"
golobota,"Belning (glb language)"
golotuta,"Bon Gula (glc language)"
golodota,"Nanai (gld language)"
golonuta,"Irish (gle language)"
gologota,"Galician (glg language)"
golokuta,"Northwest Pashai (glh language)"
golokuta,"Northwest Pashayi (glh language)"
golojota,"Gula Iro (glj language)"
golokota,"Gilaki (glk language)"
gololota,"Garlali (gll language)"
goloduta,"Galambu (glo language)"
golorota,"Glaro-Twabo (glr language)"
golobuta,"Gula (Chad) (glu language)"
golovota,"Manx (glv language)"
golosuta,"Glavda (glw language)"
golovuta,"Gule (gly language)"
gomomuta,"Gambera (gma language)"
gomobota,"Gula'alaa (gmb language)"
gomodota,"Mághdì (gmd language)"
gomogota,"Magɨyi (gmg language)"
gomokuta,"Middle High German (ca. 1050-1500) (gmh language)"
gomolota,"Middle Low German (gml language)"
gomomota,"Gbaya-Mbodomo (gmm language)"
gomonota,"Gimnime (gmn language)"
gomorota,"Mirning (gmr language)"
gomorota,"Mirniny (gmr language)"
gomobuta,"Gumalu (gmu language)"
gomovota,"Gamo (gmv language)"
gomoxota,"Magoma (gmx language)"
gomovuta,"Mycenaean Greek (gmy language)"
gomozota,"Mgbolizhia (gmz language)"
gonomuta,"Kaansa (gna language)"
gonobota,"Gangte (gnb language)"
gonotuta,"Guanche (gnc language)"
gonodota,"Zulgo-Gemzek (gnd language)"
gononuta,"Ganang (gne language)"
gonogota,"Ngangam (gng language)"
gonokuta,"Lere (gnh language)"
gonoguta,"Gooniyandi (gni language)"
gonojota,"Ngen (gnj language)"
gonokota,"ǁGana (gnk language)"
gonolota,"Gangulu (gnl language)"
gonomota,"Ginuman (gnm language)"
gononota,"Gumatj (gnn language)"
gonoduta,"Northern Gondi (gno language)"
gonoputa,"Gana (gnq language)"
gonorota,"Gureng Gureng (gnr language)"
gonotota,"Guntai (gnt language)"
gonobuta,"Gnau (gnu language)"
gonosuta,"Western Bolivian Guaraní (gnw language)"
gonozota,"Ganzi (gnz language)"
godamuta,"Guro (goa language)"
godabota,"Playero (gob language)"
godatuta,"Gorakor (goc language)"
godadota,"Godié (god language)"
godanuta,"Gongduk (goe language)"
godafota,"Gofa (gof language)"
godagota,"Gogo (gog language)"
godakuta,"Old High German (ca. 750-1050) (goh language)"
godaguta,"Gobasi (goi language)"
godajota,"Gowlan (goj language)"
godakota,"Gowli (gok language)"
godalota,"Gola (gol language)"
godamota,"Goan Konkani (gom language)"
godanota,"Gondi (gon language)"
godaduta,"Gone Dau (goo language)"
godapota,"Yeretuar (gop language)"
godaputa,"Gorap (goq language)"
godarota,"Gorontalo (gor language)"
godasota,"Gronings (gos language)"
godatota,"Gothic (got language)"
godabuta,"Gavar (gou language)"
godasuta,"Gorowa (gow language)"
godaxota,"Gobu (gox language)"
godavuta,"Goundo (goy language)"
godazota,"Gozarkhani (goz language)"
gopomuta,"Gupa-Abawa (gpa language)"
goponuta,"Ghanaian Pidgin English (gpe language)"
goponota,"Taiap (gpn language)"
gopamuta,"Ga'anda (gqa language)"
gopaguta,"Guiqiong (gqi language)"
gopanota,"Guana (Brazil) (gqn language)"
goparota,"Gor (gqr language)"
gopabuta,"Qau (gqu language)"
goromuta,"Rajput Garasia (gra language)"
gorobota,"Grebo (grb language)"
gorotuta,"Ancient Greek (to 1453) (grc language)"
gorodota,"Guruntum-Mbaaru (grd language)"
gorogota,"Madi (grg language)"
gorokuta,"Gbiri-Niragu (grh language)"
goroguta,"Ghari (gri language)"
gorojota,"Southern Grebo (grj language)"
goromota,"Kota Marudu Talantang (grm language)"
goronota,"Guarani (grn language)"
goroduta,"Groma (gro language)"
goroputa,"Gorovu (grq language)"
gororota,"Taznatit (grr language)"
gorosota,"Gresi (grs language)"
gorotota,"Garo (grt language)"
gorobuta,"Kistane (gru language)"
gorovota,"Central Grebo (grv language)"
gorosuta,"Gweda (grw language)"
goroxota,"Guriaso (grx language)"
gorovuta,"Barclayville Grebo (gry language)"
gorozota,"Guramalum (grz language)"
gosonuta,"Ghanaian Sign Language (gse language)"
gosogota,"German Sign Language (gsg language)"
gosolota,"Gusilay (gsl language)"
gosomota,"Guatemalan Sign Language (gsm language)"
gosonota,"Gusan (gsn language)"
gosonota,"Nema (gsn language)"
gosoduta,"Southwest Gbaya (gso language)"
gosopota,"Wasembo (gsp language)"
gososota,"Greek Sign Language (gss language)"
gososuta,"Alemannic (gsw language)"
gososuta,"Alsatian (gsw language)"
gososuta,"Swiss German (gsw language)"
gotomuta,"Guató (gta language)"
gotobuta,"Aghu-Tharnggala (gtu language)"
gobamuta,"Shiki (gua language)"
gobabota,"Guajajára (gub language)"
gobatuta,"Wayuu (guc language)"
gobadota,"Yocoboué Dida (gud language)"
gobanuta,"Gurindji (gue language)"
gobafota,"Gupapuyngu (guf language)"
gobagota,"Paraguayan Guaraní (gug language)"
gobakuta,"Guahibo (guh language)"
gobaguta,"Eastern Bolivian Guaraní (gui language)"
gobajota,"Gujarati (guj language)"
gobakota,"Gumuz (guk language)"
gobalota,"Sea Island Creole English (gul language)"
gobamota,"Guambiano (gum language)"
gobanota,"Mbyá Guaraní (gun language)"
gobaduta,"Guayabero (guo language)"
gobapota,"Gunwinggu (gup language)"
gobaputa,"Aché (guq language)"
gobarota,"Farefare (gur language)"
gobasota,"Guinean Sign Language (gus language)"
gobatota,"Maléku Jaíka (gut language)"
gobabuta,"Yanomamö (guu language)"
gobasuta,"Gun (guw language)"
gobaxota,"Gourmanchéma (gux language)"
gobazota,"Ekegusii (guz language)"
gobazota,"Gusii (guz language)"
govomuta,"Guana (Paraguay) (gva language)"
govotuta,"Guanano (gvc language)"
govonuta,"Duwet (gve language)"
govofota,"Golin (gvf language)"
govojota,"Guajá (gvj language)"
govolota,"Gulay (gvl language)"
govomota,"Gurmana (gvm language)"
govonota,"Kuku-Yalanji (gvn language)"
govoduta,"Gavião Do Jiparaná (gvo language)"
govopota,"Pará Gavião (gvp language)"
govorota,"Gurung (gvr language)"
govosota,"Gumawana (gvs language)"
govovuta,"Guyani (gvy language)"
gowomuta,"Mbato (gwa language)"
gowobota,"Gwa (gwb language)"
gowotuta,"Gawri (gwc language)"
gowotuta,"Kalami (gwc language)"
gowodota,"Gawwada (gwd language)"
gowonuta,"Gweno (gwe language)"
gowofota,"Gowro (gwf language)"
gowogota,"Moo (gwg language)"
gowoguta,"Gwichʼin (gwi language)"
gowojota,"ǀGwi (gwj language)"
gowomota,"Awngthim (gwm language)"
gowonota,"Gwandara (gwn language)"
goworota,"Gwere (gwr language)"
gowotota,"Gawar-Bati (gwt language)"
gowobuta,"Guwamu (gwu language)"
gowosuta,"Kwini (gww language)"
gowoxota,"Gua (gwx language)"
goxoxota,"Wè Southern (gxx language)"
goyomuta,"Northwest Gbaya (gya language)"
goyobota,"Garus (gyb language)"
goyodota,"Kayardild (gyd language)"
goyonuta,"Gyem (gye language)"
goyofota,"Gungabula (gyf language)"
goyogota,"Gbayi (gyg language)"
goyoguta,"Gyele (gyi language)"
goyolota,"Gayil (gyl language)"
goyomota,"Ngäbere (gym language)"
goyonota,"Guyanese Creole English (gyn language)"
goyoduta,"Gyalsumdo (gyo language)"
goyorota,"Guarayu (gyr language)"
goyovuta,"Gunya (gyy language)"
goyozota,"Geji (gyz language)"
goyozota,"Gyaazi (gyz language)"
gozomuta,"Ganza (gza language)"
gozoguta,"Gazi (gzi language)"
gozonota,"Gane (gzn language)"
homamuta,"Han (haa language)"
homabota,"Hanoi Sign Language (hab language)"
homatuta,"Gurani (hac language)"
homadota,"Hatam (had language)"
homanuta,"Eastern Oromo (hae language)"
homafota,"Haiphong Sign Language (haf language)"
homagota,"Hanga (hag language)"
homakuta,"Hahon (hah language)"
homaguta,"Haida (hai language)"
homajota,"Hajong (haj language)"
homakota,"Hakka Chinese (hak language)"
homalota,"Halang (hal language)"
homamota,"Hewa (ham language)"
homanota,"Hangaza (han language)"
homaduta,"Hakö (hao language)"
homapota,"Hupla (hap language)"
homaputa,"Ha (haq language)"
homarota,"Harari (har language)"
homasota,"Haisla (has language)"
homatota,"Haitian (hat language)"
homatota,"Haitian Creole (hat language)"
homabuta,"Hausa (hau language)"
homavota,"Havu (hav language)"
homasuta,"Hawaiian (haw language)"
homaxota,"Southern Haida (hax language)"
homavuta,"Haya (hay language)"
homazota,"Hazaragi (haz language)"
hobomuta,"Hamba (hba language)"
hobobota,"Huba (hbb language)"
hobonota,"Heiban (hbn language)"
hoboduta,"Ancient Hebrew (hbo language)"
hobosota,"Serbo-Croatian (hbs language)"
hobobuta,"Habu (hbu language)"
hotamuta,"Andaman Creole Hindi (hca language)"
hotakuta,"Huichol (hch language)"
hodonota,"Northern Haida (hdn language)"
hodosota,"Honduras Sign Language (hds language)"
hodovuta,"Hadiyya (hdy language)"
honamuta,"Northern Qiandong Miao (hea language)"
honabota,"Hebrew (heb language)"
honadota,"Herdé (hed language)"
honagota,"Helong (heg language)"
honakuta,"Hehe (heh language)"
honaguta,"Heiltsuk (hei language)"
honamota,"Hemba (hem language)"
honarota,"Herero (her language)"
hogomota,"Haiǁom (hgm language)"
hogosuta,"Haigwai (hgw language)"
hohoguta,"Hoia Hoia (hhi language)"
hohorota,"Kerak (hhr language)"
hohovuta,"Hoyahoya (hhy language)"
hogamuta,"Lamang (hia language)"
hogabota,"Hibito (hib language)"
hogadota,"Hidatsa (hid language)"
hogafota,"Fiji Hindi (hif language)"
hogagota,"Kamwe (hig language)"
hogakuta,"Pamosu (hih language)"
hogaguta,"Hinduri (hii language)"
hogajota,"Hijuk (hij language)"
hogakota,"Seit-Kaitetu (hik language)"
hogalota,"Hiligaynon (hil language)"
hoganota,"Hindi (hin language)"
hogaduta,"Tsoa (hio language)"
hogarota,"Himarimã (hir language)"
hogatota,"Hittite (hit language)"
hogasuta,"Hiw (hiw language)"
hogaxota,"Hixkaryána (hix language)"
hojoguta,"Haji (hji language)"
hokomuta,"Kahe (hka language)"
hokonuta,"Hunde (hke language)"
hokokuta,"Khah (hkh language)"
hokokuta,"Poguli (hkh language)"
hokokota,"Hunjara-Kaina Ke (hkk language)"
hokonota,"Mel-Khaonh (hkn language)"
hokosota,"Heung Kong Sau Yue (hks language)"
hokosota,"Hong Kong Sign Language (hks language)"
holomuta,"Halia (hla language)"
holobota,"Halbi (hlb language)"
holodota,"Halang Doan (hld language)"
holonuta,"Hlersu (hle language)"
holotota,"Matu Chin (hlt language)"
holobuta,"Hieroglyphic Luwian (hlu language)"
homomuta,"Southern Mashan Hmong (hma language)"
homomuta,"Southern Mashan Miao (hma language)"
homobota,"Humburi Senni Songhay (hmb language)"
homotuta,"Central Huishui Hmong (hmc language)"
homotuta,"Central Huishui Miao (hmc language)"
homodota,"A-hmaos (hmd language)"
homodota,"Da-Hua Miao (hmd language)"
homodota,"Large Flowery Miao (hmd language)"
homonuta,"Eastern Huishui Hmong (hme language)"
homonuta,"Eastern Huishui Miao (hme language)"
homofota,"Hmong Don (hmf language)"
homogota,"Southwestern Guiyang Hmong (hmg language)"
homokuta,"Southwestern Huishui Hmong (hmh language)"
homokuta,"Southwestern Huishui Miao (hmh language)"
homoguta,"Northern Huishui Hmong (hmi language)"
homoguta,"Northern Huishui Miao (hmi language)"
homojota,"Ge (hmj language)"
homojota,"Gejia (hmj language)"
homokota,"Maek (hmk language)"
homolota,"Luopohe Hmong (hml language)"
homolota,"Luopohe Miao (hml language)"
homomota,"Central Mashan Hmong (hmm language)"
homomota,"Central Mashan Miao (hmm language)"
homonota,"Hmong (hmn language)"
homonota,"Mong (hmn language)"
homoduta,"Hiri Motu (hmo language)"
homopota,"Northern Mashan Hmong (hmp language)"
homopota,"Northern Mashan Miao (hmp language)"
homoputa,"Eastern Qiandong Miao (hmq language)"
homorota,"Hmar (hmr language)"
homosota,"Southern Qiandong Miao (hms language)"
homotota,"Hamtai (hmt language)"
homobuta,"Hamap (hmu language)"
homovota,"Hmong Dô (hmv language)"
homosuta,"Western Mashan Hmong (hmw language)"
homosuta,"Western Mashan Miao (hmw language)"
homovuta,"Southern Guiyang Hmong (hmy language)"
homovuta,"Southern Guiyang Miao (hmy language)"
homozota,"Hmong Shua (hmz language)"
homozota,"Sinicized Miao (hmz language)"
honomuta,"Mina (Cameroon) (hna language)"
honodota,"Southern Hindko (hnd language)"
hononuta,"Chhattisgarhi (hne language)"
honogota,"Hungu (hng language)"
honokuta,"ǁAni (hnh language)"
honoguta,"Hani (hni language)"
honojota,"Hmong Njua (hnj language)"
honojota,"Mong Leng (hnj language)"
honojota,"Mong Njua (hnj language)"
hononota,"Hanunoo (hnn language)"
honoduta,"Northern Hindko (hno language)"
honosota,"Caribbean Hindustani (hns language)"
honobuta,"Hung (hnu language)"
hodamuta,"Hoava (hoa language)"
hodabota,"Mari (Madang Province) (hob language)"
hodatuta,"Ho (hoc language)"
hodadota,"Holma (hod language)"
hodanuta,"Horom (hoe language)"
hodakuta,"Hobyót (hoh language)"
hodaguta,"Holikachuk (hoi language)"
hodajota,"Hadothi (hoj language)"
hodajota,"Haroti (hoj language)"
hodalota,"Holu (hol language)"
hodamota,"Homa (hom language)"
hodaduta,"Holoholo (hoo language)"
hodapota,"Hopi (hop language)"
hodarota,"Horo (hor language)"
hodasota,"Ho Chi Minh City Sign Language (hos language)"
hodatota,"Hote (hot language)"
hodatota,"Malê (hot language)"
hodavota,"Hovongan (hov language)"
hodasuta,"Honi (how language)"
hodavuta,"Holiya (hoy language)"
hodazota,"Hozo (hoz language)"
hopoduta,"Hpon (hpo language)"
hoposota,"Hawai'i Pidgin Sign Language (hps language)"
hoposota,"Hawai'i Sign Language (HSL) (hps language)"
horomuta,"Hrangkhol (hra language)"
horotuta,"Niwer Mil (hrc language)"
horonuta,"Hre (hre language)"
horokota,"Haruku (hrk language)"
horomota,"Horned Miao (hrm language)"
horoduta,"Haroi (hro language)"
horopota,"Nhirrpi (hrp language)"
horotota,"Hértevin (hrt language)"
horobuta,"Hruso (hru language)"
horovota,"Croatian (hrv language)"
horosuta,"Warwar Feni (hrw language)"
horoxota,"Hunsrik (hrx language)"
horozota,"Harzani (hrz language)"
hosobota,"Upper Sorbian (hsb language)"
hosokuta,"Hungarian Sign Language (hsh language)"
hosolota,"Hausa Sign Language (hsl language)"
hosonota,"Xiang Chinese (hsn language)"
hososota,"Harsusi (hss language)"
hotoguta,"Hoti (hti language)"
hotoduta,"Minica Huitoto (hto language)"
hotosota,"Hadza (hts language)"
hotobuta,"Hitu (htu language)"
hotoxota,"Middle Hittite (htx language)"
hobabota,"Huambisa (hub language)"
hobatuta,"ǂ'Amkhoe (huc language)"
hobatuta,"ǂHua (huc language)"
hobadota,"Huaulu (hud language)"
hobanuta,"San Francisco Del Mar Huave (hue language)"
hobafota,"Humene (huf language)"
hobagota,"Huachipaeri (hug language)"
hobakuta,"Huilliche (huh language)"
hobaguta,"Huli (hui language)"
hobajota,"Northern Guiyang Hmong (huj language)"
hobajota,"Northern Guiyang Miao (huj language)"
hobakota,"Hulung (huk language)"
hobalota,"Hula (hul language)"
hobamota,"Hungana (hum language)"
hobanota,"Hungarian (hun language)"
hobaduta,"Hu (huo language)"
hobapota,"Hupa (hup language)"
